sku_name;price;sold;page;keyword;gmv_estimation
DRESS ANAK KONICHIWA EBV Baju Dress Anak Perempuan Import - Grey, M;114400;2;3;konichiwa;228800
Hakushika Umakuchi shika Pack 3L sake;1150000;5;3;konichiwa;5750000
Marutai Kurume Noko Tonkotsu Ramen 194 Gr;51000;3;3;konichiwa;153000
POP IT XXXL PASTEL STRAWBERRY PREMIUM / rainbow popit tiktok bubble;169000;21;3;konichiwa;3549000
seventeen topokki - Merah Muda;50000;0;3;konichiwa;0
BUKU TRAVELLING / KONICHIWA JAPAN! / BUKU TENTANG JEPANG / BUKU;72000;0;3;konichiwa;0
HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import 🤞;80000;0;3;konichiwa;0
Konichiwa Japan!;41000;0;3;konichiwa;0
ASLI BUKU MOTIVASI : KONICHIWA JAPAN! READY STOCK;90000;0;3;konichiwa;0
SPREI SET KATUN PREMIUM BEVERLY HK KONICHIWA PINK;120000;0;3;konichiwa;0
POP IT JUMBO XL BUTTERFLY / popit tiktok viral kado - Rainbow;79000;40;3;konichiwa;3160000
POP IT JUMBO XXXL RAINBOW BIG BOW / popit tiktok pita viral hadiah;139000;3;3;konichiwa;417000
BEDCOVER + SPREI SET KATUN PREMIUM BEVERLY HK KONICHIWA RED;365000;0;3;konichiwa;0
Buku Motivasi : Konichiwa Japan!;95000;0;3;konichiwa;0
HappyOliver DRESS KONICHIWA EBV Baju Dress Anak Perempuan Import;108000;0;3;konichiwa;0
Heybaby Dress Konichiwa Ebv Baju Dress Anak Perempuan Import Dress;100018;0;3;konichiwa;0
Buku Travelling / Konichiwa Japan! / Buku tentang Jepang / Buku;71000;0;3;konichiwa;0
PROMO SANDAL KONICHIWA BERKUALITAS;207000;0;3;konichiwa;0
BEDCOVER + SPREI SET KATUN PREMIUM BEVERLY HK KONICHIWA PINK;365000;0;3;konichiwa;0
Sprei Katun Lokal Motif HK Konichiwa By Bahan Katun Beverly,Sprei;342000;0;3;konichiwa;0
Produk Terbatas Happyoliver Dress Konichiwa Ebv Baju Dress Anak;992000;0;3;konichiwa;0
Terbaru Heybaby Dress Konichiwa Ebv Baju Dress Anak Perempuan Import;1193000;0;3;konichiwa;0
Hoodie anak perempuan motif kawai lucu cute konichiwa jaket cewek;26000;0;3;konichiwa;0
Buku Travelling : KONICHIWA JAPAN! - Buku tentang Jepang;84000;0;3;konichiwa;0
Promo / Buku Sejarah / Buku Travelling / Buku Jepang : Konichiwa;90000;0;3;konichiwa;0
Terlaris Buku Travelling / Konichiwa Japan! / Buku tentang Jepang /;41000;0;3;konichiwa;0
